task_name,epoch,step,loss
sciq,1,1,4.686830997467041
sciq,1,2,3.3875765800476074
sciq,1,3,3.4587128162384033
sciq,1,4,1.989880919456482
sciq,1,5,1.6680822372436523
sciq,1,6,2.1226327419281006
sciq,1,7,1.8580303192138672
sciq,1,8,0.3983127474784851
sciq,1,9,1.2308852672576904
sciq,1,10,1.8243111371994019
sciq,1,11,1.7646315097808838
sciq,1,12,1.208008050918579
sciq,1,13,0.984177827835083
sciq,1,14,0.7788597941398621
sciq,1,15,0.7516267895698547
sciq,1,16,0.24466004967689514
sciq,1,17,1.6387596130371094
sciq,1,18,0.312805712223053
sciq,1,19,0.8504946827888489
sciq,1,20,0.5056493878364563
sciq,1,21,0.2226099818944931
sciq,1,22,0.9309118390083313
sciq,1,23,1.4121572971343994
sciq,1,24,0.6019248366355896
sciq,1,25,2.469776153564453
sciq,1,26,0.5059324502944946
sciq,1,27,1.4424628019332886
sciq,1,28,0.32802245020866394
sciq,1,29,0.4550360441207886
sciq,1,30,0.5786600708961487
sciq,1,31,0.4233439862728119
sciq,1,32,0.5660052299499512
sciq,1,33,0.8385164141654968
sciq,1,34,0.49152418971061707
sciq,1,35,0.8619086146354675
sciq,1,36,1.264225959777832
sciq,1,37,0.9764953851699829
sciq,1,38,0.8212337493896484
sciq,1,39,1.9227988719940186
sciq,1,40,1.1372288465499878
sciq,1,41,0.9828590154647827
sciq,1,42,0.5650904774665833
sciq,1,43,2.0954954624176025
sciq,1,44,0.8074833154678345
sciq,1,45,0.7877517938613892
sciq,1,46,0.5235258936882019
sciq,1,47,0.31372004747390747
sciq,1,48,0.29397276043891907
sciq,1,49,1.3598973751068115
sciq,1,50,0.5612924098968506
sciq,2,51,0.6123641133308411
sciq,2,52,0.039860740303993225
sciq,2,53,0.5131842494010925
sciq,2,54,0.6466107368469238
sciq,2,55,0.1982753425836563
sciq,2,56,0.7790241837501526
sciq,2,57,0.17975573241710663
sciq,2,58,0.42841050028800964
sciq,2,59,0.2139783352613449
sciq,2,60,0.23708690702915192
sciq,2,61,0.44587549567222595
sciq,2,62,1.467826247215271
