task_name,epoch,step,loss
sciq,1,1,4.686830997467041
sciq,1,2,3.3875765800476074
sciq,1,3,3.292253255844116
sciq,1,4,1.5801888704299927
sciq,1,5,1.5718730688095093
sciq,1,6,1.977203369140625
sciq,1,7,1.6369330883026123
sciq,1,8,0.33711156249046326
sciq,1,9,1.1893571615219116
sciq,1,10,1.833700180053711
sciq,1,11,2.0873379707336426
sciq,1,12,1.100166916847229
sciq,1,13,1.021345615386963
sciq,1,14,0.7671425342559814
sciq,1,15,0.8988878726959229
sciq,1,16,0.35140830278396606
sciq,1,17,1.6184194087982178
sciq,1,18,0.29197847843170166
sciq,1,19,0.8147643804550171
sciq,1,20,0.7605181336402893
sciq,1,21,0.33537957072257996
sciq,1,22,1.0096094608306885
sciq,1,23,1.3366975784301758
sciq,1,24,0.6198606491088867
sciq,1,25,2.516279697418213
sciq,1,26,0.514838457107544
sciq,1,27,1.3351759910583496
sciq,1,28,0.26080551743507385
sciq,1,29,0.4506630599498749
sciq,1,30,0.7001903653144836
sciq,1,31,0.6622109413146973
sciq,1,32,0.6210644245147705
sciq,1,33,0.9465034008026123
sciq,1,34,0.4555824398994446
sciq,1,35,0.9435277581214905
sciq,1,36,1.083897352218628
sciq,1,37,0.9284682273864746
sciq,1,38,0.9004963636398315
sciq,1,39,1.8910843133926392
sciq,1,40,1.219655156135559
sciq,1,41,0.8320530652999878
sciq,1,42,0.4809565246105194
sciq,1,43,2.0398809909820557
sciq,1,44,0.8107904195785522
sciq,1,45,0.6213066577911377
sciq,1,46,0.4891565442085266
sciq,1,47,0.31351643800735474
sciq,1,48,0.19401967525482178
sciq,1,49,1.3895835876464844
sciq,1,50,0.5119807720184326
sciq,2,51,0.8248726725578308
sciq,2,52,0.06757283955812454
sciq,2,53,0.6983434557914734
sciq,2,54,0.5983384251594543
sciq,2,55,0.22347266972064972
sciq,2,56,0.8702822923660278
sciq,2,57,0.0921802967786789
sciq,2,58,0.3870130181312561
sciq,2,59,0.16347567737102509
sciq,2,60,0.2084515243768692
sciq,2,61,0.4822981059551239
sciq,2,62,1.0550689697265625
